CompanyCode,StockShortName,Shariah,Sector,CompanyFullName,Date
4456,DNEX,Yes,Digital Services ,DAGANG NEXCHANGE BERHAD,20210704
7114,DNONCE,Yes,Packaging Materials ,D'NONCE TECHNOLOGY BHD,20210704
5835,DOLMITE,No,Building Materials ,DOLOMITE CORPORATION BERHAD,20210704
5265,DOLPHIN,Yes,"Industrial Materials, Components & Equipment ",DOLPHIN INTERNATIONAL BERHAD,20210704
7169,DOMINAN,Yes,Wood & Wood Products ,DOMINANT ENTERPRISE BERHAD,20210704
7148,DPHARMA,Yes,Pharmaceuticals ,DUOPHARMA BIOTECH BERHAD,20210704
0205,DPIH,No,Household Goods ,DPI HOLDINGS BERHAD,20210704
7198,DPS,Yes,Property ,DPS RESOURCES BERHAD,20210704
1619,DRBHCOM,Yes,Automotive ,DRB-HICOM BERHAD,20210704
5216,DSONIC,Yes,Digital Services ,DATASONIC GROUP BERHAD,20210704
7233,DUFU,Yes,"Industrial Materials, Components & Equipment ",DUFU TECHNOLOGY CORP. BERHAD,20210704
3948,DUTALND,No,Plantation ,DUTALAND BERHAD,20210704
5178,DYNACIA,Yes,Metals ,DYNACIATE GROUP BERHAD,20210704
3417,E&O,Yes,Property ,EASTERN & ORIENTAL BERHAD,20210704
0154,EAH,No,Digital Services ,EA HOLDINGS BERHAD,20210704
2097,EASTLND,Yes,"Travel, Leisure & Hospitality ",EASTLAND EQUITY BHD,20210704
5259,EATECH,Yes,Transportation & Logistics Services ,E.A.TECHNIQUE (M) BERHAD,20210704
2143,ECM,No,Other Financials ,ECM LIBRA GROUP BERHAD,20210704
3557,ECOFIRS,Yes,Property ,ECOFIRST CONSOLIDATED BHD,20210704
0059,ECOHLDS,Yes,Telecommunications Service Providers ,ECOBUILT HOLDINGS BERHAD,20210704
5253,ECONBHD,Yes,Construction ,ECONPILE HOLDINGS BERHAD,20210704
8206,ECOWLD,Yes,Property ,ECO WORLD DEVELOPMENT GROUP BERHAD,20210704
5036,EDARAN,Yes,Technology Equipment ,EDARAN BERHAD,20210704
7471,EDEN,Yes,Electricity ,EDEN INC. BERHAD,20210704
1368,EDGENTA,Yes,Industrial Services ,UEM EDGENTA BERHAD,20210704
0107,EDUSPEC,Yes,Software ,EDUSPEC HOLDINGS BERHAD,20210704
0064,EFFICEN,No,Industrial Services ,EFFICIENT E-SOLUTIONS BERHAD,20210704
0065,EFORCE,Yes,Software ,EXCEL FORCE MSC BERHAD,20210704
0227,EFRAME,Yes,Building Materials ,ECONFRAME BERHAD,20210704
8907,EG,Yes,"Industrial Materials, Components & Equipment ",EG INDUSTRIES BERHAD,20210704
5081,EIG,Yes,Personal Goods ,ESTHETICS INTERNATIONAL GROUP BERHAD,20210704
5208,EITA,Yes,"Industrial Materials, Components & Equipment ",EITA RESOURCES BERHAD,20210704
7182,EKA,Yes,Food & Beverages ,EKA NOODLES BERHAD,20210704
8877,EKOVEST,Yes,Construction ,EKOVEST BERHAD,20210704
